"filename", "language", "CSV", "Markdown", "JavaScript", "JSON", "graphql", "JavaScript JSX", "SCSS", "XML", "JSON with Comments", "Docker", "YAML", "comment", "blank", "total"
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 70
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\app\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\babel.config.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 5, 42
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\jest.config.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\nodemon.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\package-lock.json", "JSON", 0, 0, 0, 20667, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20668
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\package.json", "JSON", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\create-evershop-app\README.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
